,name,location,rent,deposit,area,type,highlights,description,owner
0,Majestique Towers,"2 BHK Flat for rent in Kharadi, Pune","₹30,000",,808 sqft,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 30,000 in majestique towers, pune. This flat consists of 2 bathrooms & 1 balcony build in 808 sq.Ft. Carpet area. This property is constructed on 808 sq.Ft. Extra space for pooja room. You also get 1 covered parking inside the premises located on 10th of 16 floor. This is a ready to move property and it is...",PW Realty 
1,Balaji Mesmero,"2 BHK Flat for rent in Lohegaon, Pune","₹22,500",+ Deposit 2 months rent,"1,040 sqft",2 BHK ,"['2 Baths', 'East Facing']",2 bhk flat with modular kitchen lift garden kids play area security guard etc near by school college hospital bank atm airport shopping complex hotel etc,NK Properties 
2,ARV Ganga Kingston,"2 BHK Flat for rent in NIBM, Pune","₹27,000",+ Deposit 3 months rent,"1,012 sqft",2 BHK ,"['2 Baths', 'Private Garden']",Rent: 22000,Foursides Property Management 
3,Goel Ganga Constella,"2 BHK Flat for rent in Eon Free Zone , Pune","₹37,000",+ Deposit 3 months rent,960 sqft,2 BHK ,"['East Facing', 'Full Power Backup']","2 bhk flat (East facing) with covered car parking in b6 building first floor, eon - Wtc facing available for rent in ganga constella society, eon it park, kharadi, pune The multistory apartment and gated society is located adjacent to Park. This semi-Furnished apartment offers covered car parking, with amenities like club house, children playing zone, gym, park & swimming pool for relaxation gi...",Owner 
4,Solitaire Residency,"3 BHK Flat for rent in Rahatani, Pune","₹35,000","+ Deposit ₹90,000","1,444 sqft",3 BHK ,"['2 Baths', 'Full Power Backup']",The rose valley society is the one of the famous society in pimple saudagar rahatni area. There are number of amenities in the society like gym clubhouse swimming pool garden and temple also centre of the society. The flat have very good ventilation and sunlight properly cross from the balcony to hall . The bank shopping complex movie theater hotels hospital school and daycare also near from th...,Bardhaman Property one of the famous consultant agency in pimple Saudagar 
5,Nyati Esteban 1,"3 BHK Flat for rent in Undri, Pune","₹45,000",+ Deposit 3 months rent,"2,300 sqft",3 BHK ,"['3 Baths', 'Private Garden']","Fully furnished brand new flat with imported furniture (Furniture from dubai imported )very luxurious and beautiful spacious airy apartment with a gorgeous view. Good sunlight, perfect location with easy access to groceries, medicals, hotels, schools and transport. Cosmopolitan society with all amenities, for instance club house, swimming pool, gym, yoga room, childrens play area, ample car par...",HOME IT 
6,Kasturi La Salette,"4 Bedroom House for rent in Kirtane Baugh, Pune",₹1.25 Lac,+ Deposit 6 months rent,"3,000 sqft",4 BHK ,"['4 Baths', 'Full Power Backup']",4 bhk villa for rent in a gated society with all amenities. It is very close to magarpatta and amanora city,Geet Enterprises  
7,amanora Desire Tower,"1 BHK Flat for rent in Amanora Park Town, Pune","₹25,000",+ Deposit 2 months rent,500 sqft,1 BHK ,"['1 Baths', 'East Facing']","1 bhk flat available for rent in amanora desire tower, kharadi.
Monthly rent 25 k negotiable.",VASTU REAL ESTATE 
8,Five Star Royal Imperio,"2 BHK Flat for rent in Rahatani, Pune","₹30,000","+ Deposit ₹70,000","1,120 sqft",2 BHK ,"['2 Baths', 'East Facing']","Five star royal imperio is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in rahatani, is your opportunity to be a part of this community. This 2 bhk flat comes with 2 bathrooms set in 1120 sq.Ft. Carpet usable area. This property is constructed on 1120 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on 2n...",saudagar property 
9,Vilas Javdekar Yashwin Orizzonte,"2 BHK Flat for rent in Kharadi, Pune","₹32,000","+ Deposit ₹65,000","1,052 sqft",2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 32,000 in vilas javdekar yashwin orizzonte, pune. This property offers access to nearby landmarks and is close to school and close to market. This flat consists of 2 bathrooms & 2 balconies in 920 sq.Ft. Super built-Up area. The flat is built on 1052 sq.Ft. Area. This property has study room as well. Ease ...",FORTUNE REALTY SOLUTIONS
10,Vascon Citron Phase 1,"2 BHK Flat for rent in Wagholi, Pune","₹19,000","+ Deposit ₹40,000","1,205 sqft",2 BHK ,"['North-East Facing', 'Private Garden']","This lovely 2 bhk apartment for rent in wagholi is available in one of pune's most popular projects, vascon citron phase 1. This flat consists of 2 bathrooms & 2 balconies build in 1200 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1205 sq.Ft. A separate space for others is available in this flat. Society provides 1 covered parking with this flat. The building has a tota...",Neuron Realty 
11,Vascon Citron Phase 1,"2 BHK Flat for rent in Wagholi, Pune","₹19,000",+ Deposit 2 months rent,"1,205 sqft",2 BHK ,"['East Facing', 'Close to School']",2bhk 850carpet with modular kitchen.. Closed to kharat it park.. All a category schools near by.. Road touch property 24/7 public transport available,Neuron Realty 
12,BA Vermont,"2 BHK Flat for rent in Wagholi, Pune","₹29,000",+ Deposit 3 months rent,"1,044 sqft",2 BHK ,"['East Facing', 'Private Garden']","A spacious *2 bhk fully furnished flat* (With additional dinning space) available on rent @ *b.A. Vermont society (E wing), baif road road, wagholi* pune. **available only for family** **complete furnished flat** Available for rent from 5th mar 2024 Suitable for family, a 2 bhk fully furnished spacious with additional dinning space flat (Total area-1000sqft & carpet- 750sqft) with reserved tand...",Neuron Realty 
13,Harmony co-operative housing society,"3 BHK Flat for rent in Bhoslenagar, Pune","₹60,000",+ Deposit 6 months rent,"1,200 sqft",3 BHK ,"['Close to Metro Station', 'Close to School']",The property is owned by m/s steel authority of india ltd. A public sector undertaking. Is available for central/state goverment/psu/bank employees on company lease basis. Total of 6flats available in same society at various floors. Rent mentioned is per flat. Terms and conditions shall be as per m/s sail.,Owner 
